reviewId,userName,score,thumbsUpCount,reviewCreatedVersion,time,processed_text,sentiment
ac5ece52-d5ef-45e6-8528-77ca0466408c,Maria linda Blanco,5,0,2022.04.03.443250466.Release,2023-02-23 06:53:10,Why i can't install gmail,0.0
61697000-3210-47a7-a514-0fdc5f4a8c2d,Gary Jarman,3,0,2023.01.22.509649758.Release,2023-02-22 18:46:25,Poor for Hotmail. Can't get Hotmail emails. Won't sync. Only happened last few days. Need help!!!!,-0.6449
659dd5da-d4ff-46d6-bc5d-244d722ede74,Peter Bowley,1,0,2022.09.18.479203120.Release,2023-02-22 10:22:11,"Since update on 14th feb no new emails are being recieved, lastbemail recieved was 20th feb. App is horrible roll back changes and all emsils are lost",-0.7906
702448b0-59bb-4c38-ba5f-5c9ded96556b,Zalph Ernie,1,0,2023.01.08.501398065.Release,2023-02-21 18:48:55,"It's very disheartening that I would comment this here. On 14th of this month my main account was hacked and I tried reaching out to google till now I haven't gotten any positive response. I won't advice anyone to back up their data on google or trust google anymore because I have lost all my documents, contacts and access to my finances because all means of reaching google has proven abortive. the most annoying part is you can't even intract with humans as robots has taken over",-0.797
a72c30bb-939f-4d5b-b515-7b9fb78fa128,Sumathe Ponnampalam,5,0,2023.01.22.509649758.Release,2023-02-21 06:45:28,👍,0.0
17849bc7-3cc9-4a2f-ba8c-d05a73820013,Mark Stonecipher,5,0,2023.01.08.501398065.Release,2023-02-20 14:02:50,Exceptional Service,0.0
b32a85be-4e80-424d-a94e-63e05533b5e6,4U2 Motors 4u,5,0,2023.01.22.509649758.Release,2023-02-19 21:05:53,Good very Nice,0.7178
ab66b695-566d-4cf3-b58f-72d4e95e2876,Инат Шакидаев,5,0,2023.01.22.509649758.Release,2023-02-19 06:24:35,Right here,0.0
6fb48bd6-14b6-4567-b274-87e7d54c7fdc,SOMIR BRO SOMIR BRO,5,0,2023.01.08.501398065.Release,2023-02-18 13:21:41,5 Star 🌟,0.0
e0ff26f2-687d-44e0-ad20-190d0a957f91,Cindy Bignell,5,0,6.11.6.140557227.release,2023-02-17 18:59:23,Very pleased with this app i get my messages right away cindy,0.4927
8493c883-b6dc-444c-99ba-08255675f897,SHUBHAM SINGH GAMING,5,0,2023.01.08.506205950.Release,2023-02-17 07:31:51,Best mailing app.,0.6369
4224c756-4a1d-41fc-a835-c54233b22b9b,Jimmyngyambeng Jimmybeng,5,0,2022.10.02.482844008.Release,2023-02-16 14:43:50,Ues,0.0
89e9f7f8-6646-44ad-a606-4fb906cbf44a,Lamia Been,5,0,2023.01.08.501398065.Release,2023-02-15 21:19:37,Nice app,0.4215
25c4a5c3-9f2f-4c08-b177-0543a74410c1,ArViNd KuMAr,1,0,2023.01.08.501398065.Release,2023-02-15 08:02:10,My Gmail Account Password not reset by Google team poor work,-0.4767
2d5c9089-a385-4cc3-ac73-a6998feb6aff,Raymond Khoo,1,1,2023.01.08.501398065.Release,2023-02-14 14:40:47,Why does the notifications some times doesn't work? Some times I restart my phone several times and it doesn't even fix the issue. This is bad because I expect some important emails and I don't know I received them because the notifications doesn't work!,-0.4574
b0cbd104-b4da-483f-9ca1-c485b5ac5aa6,BALFSON,5,1,2023.01.08.501398065.Release,2023-02-13 18:34:44,It flexible to use But if I want to delete 7000 messages I need to mark one by one instead of marking all Please developer kindly update the app so we can delete messages by marking all,0.7717
eca99494-9f89-4417-a707-6667fc030842,tobias michael,4,0,2023.01.08.501398065.Release,2023-02-13 00:57:16,It delivers better than other apps.,0.4404
cd177a3a-38b9-445b-a134-87bac84c8064,swadhin tarai,5,0,2022.12.25.498226572.Release,2023-02-12 07:55:39,tg,0.0
305c320a-ae13-40df-956f-b22ce2f07637,Toby Gower,4,0,2022.08.21.473115440.Release,2023-02-11 14:25:08,I like this app. - it is a good help!!,0.8264
88197d17-9b59-4f0b-9afd-b7aaf3480f08,Nicole R,4,0,2023.01.08.501398065.Release,2023-02-10 22:37:28,Hacked,-0.4019
b5b61a5e-8590-42ad-a52a-6aab0d4b178e,Merie Dale,1,3,2023.01.08.501398065.Release,2023-02-10 09:36:04,"Worst mobile email to use. Every time I send a new email with attachments, its always places my emails in Queued. I then have to into the email and forward it, for it to eventually send successfully. Worst experience ever since having Gmail.",-0.5994
fa1d87cc-9d9e-48e6-85a7-f2c55a60712d,LORD Chimppo BOROTBOROT,4,0,2023.01.08.501398065.Release,2023-02-09 15:52:17,"The PAYMENT IN OTHER BALANCE FEEDBACK. DONT SIDE., DONT DELAY. GUY DOCTOR ELECTRIC. GADDF",-0.4648
09a7d3b0-78a0-4f9a-a01d-68c71e93e44c,Miguel Dejesusdelacruz,5,0,2023.01.08.501398065.Release,2023-02-09 01:12:22,Gmail great received this is much that be on your alarm on every day in the morning beautiful this is so much guys.,0.765
444a1ccb-d58b-4380-8bb2-05fd16970890,MEHUL PARMAR,5,0,2020.09.06.332325283.Release,2023-02-08 09:58:40,Kkk,0.0
a8803b5c-df23-4960-b9df-1c56945d2674,Shahid Salmani,4,0,2020.05.31.316831277.release,2023-02-07 15:25:42,Good app,0.4404
ef46394d-5fe1-42f4-94c0-a938ecb94da8,Rani Alfaqeh,5,0,4.9 (1271612),2023-02-06 23:26:09,Good,0.4404
ceb28525-ec54-44a0-b0e5-04d107f92219,Md Nual,5,0,2019.11.03.280318276.release,2023-02-06 05:11:56,সাহাদাত,0.0
52ee3ec6-d484-4360-86c0-615c9c4235ea,Iniobong Etefia,5,0,7.2.12.147797444.release,2023-02-05 10:26:00,Wonderful,0.5719
88172eb6-1b6b-4f11-80b2-3e68856e8c93,Dinesh,5,0,7.11.26.179049568.release,2023-02-04 16:27:45,Nithin,0.0
0ddc21de-d877-429e-acfa-95eeacc33abb,Chathura Sampath,5,0,2022.12.11.496974447.Release,2023-02-04 01:25:05,Sll,0.0
fd7b37c7-00c9-48b1-9c13-40f0a39584dc,Jay Ram,4,0,2019.06.09.254811277.release,2023-02-03 10:30:41,Very excellent,0.6115
f74854dc-8df2-4660-89d3-0518ba4037a1,Mohamed Rashid Ibraimo,5,1,2022.12.25.498226572.Release,2023-02-02 16:43:02,Excellent Looks great job Thanks,0.8934
e88881ff-4fd7-45cd-a831-40a39724e06b,Barbara Bolton (Looski),3,0,2022.12.25.498226572.Release,2023-02-02 05:24:51,"I can't find how to sign into my email, I am in an endless loop. Thanks for your reply, will follow your link.",0.4404
06a524fe-c288-42f9-a265-254fae712c70,Wajahat Ali,4,0,2022.12.25.498226572.Release,2023-02-01 14:41:16,For last couple of weeks i am getting mails little bit late... It looks that there is some time delay,-0.3182
285cb6d6-2fa7-46e9-9aa0-1ff788448443,Auwalu M sani,5,0,2020.05.31.316831277.release,2023-01-31 20:40:39,I enjoy the apps notwhithstanding some time is giving small trouble,0.4404
02d9c88d-dfc6-4db9-bed2-8926a177cf60,leng Wan,5,0,6.11.6.140557227.release,2023-01-31 05:23:15,Good,0.4404
9b0e8d92-b14d-4649-a0fb-fe62bbc0f66b,Christopher Sareno,5,0,2022.11.13.490644112.Release,2023-01-30 12:05:32,Excellent,0.5719
0790d00a-b474-4a6e-b97d-e6caad14a2f0,Jivan Parmar,5,0,2022.11.13.490644112.Release,2023-01-29 16:41:02,Helli,0.0
e2588965-8fe9-42aa-a623-b5cc75ad043c,Helen Morilla,5,0,2022.12.25.498226572.Release,2023-01-28 23:05:07,Good,0.4404
e266e20b-fee3-4947-880b-f5d79b3b0fe0,Joan March Pamolarcon,1,0,8.10.21.220187835.release,2023-01-28 05:50:46,i'm happy to be a part of your success thank so much,0.872
b92dcd80-59b2-4332-9cfb-d355884a75e3,Sandla Mguda,4,0,5.0.1 (1642443),2023-01-27 12:23:26,Good,0.4404
06b93c63-5aab-4fd5-a34e-1a0261781c6c,Donna Darbonne,3,0,2022.12.25.498226572.Release,2023-01-26 17:45:17,Can't read emails.,0.0
9622540c-9122-4620-bd06-d11ddc9d07ae,Tom Ringwood,2,2,2022.12.25.498226572.Release,2023-01-26 04:40:46,"Does the basics OK, until recently search function ceased working. Often have to open email in browser because unable to in app.",0.4466
cef5d9ac-d7da-4669-8c1d-1d9748111fa3,Joselito Malapo,4,0,2019.10.20.278647676.release,2023-01-25 12:30:58,Didn't compatible to download youtube,0.0
04791930-670f-4561-8b5e-b9052f773447,Susan Crown,5,0,2022.12.25.498226572.Release,2023-01-24 16:09:33,I love Gmail. Who doesn't?,0.6369
22c4f4a9-5e5a-4ed7-97e8-fdabb492515b,Onyambu rodgers,4,0,2020.05.31.316831277.release,2023-01-23 20:48:18,Excellent,0.5719
0546fd88-bfbc-4588-8cad-6947914416ba,Yousuf Khan,5,0,2022.12.25.498226572.Release,2023-01-23 03:27:23,Very good,0.4927
f87baa55-b5f4-47ee-b537-55c37f0097b7,Sonu Rai,3,0,2022.12.11.496974447.Release,2023-01-22 09:33:11,Hello sir I can't access my gmail account please help me.,0.6124
db7b7d3a-04b0-4477-a66e-53c8edcb8675,babul Roy,3,0,2022.12.25.498226572.Release,2023-01-21 15:39:38,All best,0.6369
061f70ea-0f2c-48a8-8e49-ed2441b39eb2,Nick Nick,1,1,2022.12.25.498226572.Release,2023-01-21 00:57:27,"2 step locked me out . I have my password, password to backup email. I've had my email since 2008. I've lost all my kids photos everything. Government accounts. For some reason google isn't recognizing the phone. It's the same EMI numbers everything so I don't understand.",-0.3182
3cb9e6e4-0d89-4964-9fe4-c51a96560693,Lillian Fisher,1,0,2022.12.25.498226572.Release,2023-01-20 11:22:46,I keep seeing that I have mail in my primare mailbox. When I go to check it. It says no mail. Why?,-0.296
340a7d43-a4f8-4f74-b91a-f1615b7a5862,Mark Griffiths,4,0,2022.12.11.496974447.Release,2023-01-19 19:17:27,"Delete from the notification menu would be great, more useful than archive.",0.807
d7b16a1a-50d7-46c1-9217-7544eca56a5d,SJA Jubreel,3,0,2020.10.18.339546910.Release,2023-01-19 04:39:44,"This is my first attempt on this app, I just made a design and I don't come across any issue,but because I just start that's why my stars doesn't reach 5 😊 While I move forward,my experience there will determine what exact and rate bye",-0.0191
446ca7aa-612e-498b-8990-dfa91b7f57a4,Richard Christiansen,5,0,2022.12.11.496974447.Release,2023-01-18 11:51:15,Great app,0.6249
771673d1-d033-410c-bd8d-11ae37b7413f,Jon Y,2,1,2022.12.11.496974447.Release,2023-01-17 16:34:50,Merging with chat made it worse. Regularly have to restart the app for chat to get updated even though messages are present in push notifications.,-0.4767
b11aa9b4-4563-4890-ba65-81223722ac82,meteos nabal e,1,0,2022.11.13.490644112.Release,2023-01-17 04:12:36,Hardly to use Gmail,0.0
f6801e2e-e8fe-4650-aa58-60555e6b191a,Josh Freeze,5,1,2022.12.11.496974447.Release,2023-01-16 11:17:34,I love it it's great.,0.8519
8d1f4dba-3b2d-42c9-8d0c-e2e85eb35db1,James V,5,0,,2023-01-15 17:39:09,I always have a hard time,-0.1027
a883136b-dd5b-496f-8b3a-2f3086cbcb41,Nikhil Kumar,5,0,2022.10.02.482844008.Release,2023-01-15 02:55:14,Op,0.0
033b3698-04ae-47b3-9893-5f632486d477,Nasir uddin Ahmed,1,0,2022.11.13.490644112.Release,2023-01-14 12:47:54,Op,0.0
c4b5824d-203e-43b8-ba9e-047c68ddb914,Alex Edu,5,0,8.10.21.220187835.release,2023-01-13 21:11:32,Great,0.6249
3c805c4f-f81e-4f4c-9ed7-437d54cb6d92,Patrick Carey,5,1,2022.11.13.490644112.Release,2023-01-13 08:25:29,This in the Goggle Play store app. In my basic use for this are better than going into the Apple Store to install. I'm very Happy with using Goggle Play Store.,0.8932
14ef2f6c-0ccf-40db-9049-54365cb6b359,Shahnawaz Khan,5,0,2021.11.28.415100679.Release,2023-01-12 17:04:26,MD shahnawaz,0.0
37d65754-7b14-44f3-a107-1dedd152adaf,Anwar Hossain raju,5,0,2022.11.13.490644112.Release,2023-01-12 06:05:29,Nice,0.4215
013156e9-1423-4923-ab89-e7f859ab44d9,A.C. MARIMUTHU,2,0,2022.11.13.490644112.Release,2023-01-11 14:19:43,Bad,-0.5423
9f8daae3-0b8f-4a9c-ae8d-35f4490bdc88,Eren Seflek,1,0,2022.11.13.490644112.Release,2023-01-10 21:29:37,Sikik,0.0
75b542a3-860f-483c-b6bf-e6a8d8253b31,sweta shaw,1,0,2022.11.13.490644112.Release,2023-01-10 05:59:48,I have deleted all my mails but still storage is showing full what should I do now I don't understand anything..,0.0
